,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
1303,ENSG00000112759,1,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,SLC29A1,0.323,1.5759,0.4001,3
1304,ENSG00000113441,0,0.5,-1.0,-1.0,0,0,0.01,2025-01-01,LNPEP,0.393,1.9528,0.15351,3
1305,ENSG00000113578,0,0.75,1.0,0.0,3,3,394357.452283155,2020-10-05,FGF1,-0.04100001,1.1744,-0.55953,40
1306,ENSG00000115598,0,1.0,0.5,0.0,3,3,116566.20935579021,2023-01-18,IL1RL2,-0.24600005,0.053045,-0.81558,2
1307,ENSG00000115602,0,0.75,0.75,0.0,8,24,562534.7696387965,2012-09-28,IL1RL1,-0.062999964,-0.90161,-0.61396,3
1308,ENSG00000115718,0,1.0,1.0,0.5,2,9,168116.01355658393,2022-10-12,PROC,0.106000006,1.6178,0.89982,8
1309,ENSG00000116396,0,1.0,0.5,0.0,0,0,0.01,2025-01-01,KCNC4,0.19599998,2.0334,-0.39008,1
1310,ENSG00000117400,0,1.0,-1.0,0.5,1,1,100358.73833384078,2024-07-19,MPL,-0.021999955,1.7057,1.9617,1
1311,ENSG00000123454,1,0.5,1.0,0.5,4,4,500292.45069431677,2023-01-18,DBH,0.06400001,0.35624,0.51931,1
1312,ENSG00000125266,0,0.5,-1.0,0.0,1,1,141293.18354755783,2023-01-18,EFNB2,0.73899996,3.1166,0.30199,4
1313,ENSG00000128609,0,1.0,0.5,-1.0,0,0,0.01,2025-01-01,NDUFA5,-0.40699995,0.84609,0.3927,3
1314,ENSG00000129159,0,1.0,1.0,0.5,0,0,0.01,2025-01-01,KCNC1,0.63699996,5.1794,0.13226,1
1315,ENSG00000129244,1,1.0,0.75,-1.0,3,3,183937.6490790624,2014-08-17,ATP1B2,0.47399998,1.483,0.37378,4
1316,ENSG00000130255,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL36,0.56700003,0.18899,-1.6481,13
1317,ENSG00000130635,0,1.0,0.5,0.0,3,4,59773.57464796038,2021-03-01,COL5A1,0.911,4.1992,0.33687,13
